vertices:
id: 0, label: 000, x: 0, y: -3, style: 0, color: 0
id: 1, label: 011, x: 7, y: -1.5, style: 0, color: 0
id: 2, label: 101, x: 4.5, y: 1, style: 0, color: 0
id: 3, label: 100, x: 0, y: 1, style: 0, color: 0
id: 4, label: 001, x: 4.5, y: -3, style: 0, color: 0
id: 5, label: 111, x: 7, y: 2.5, style: 0, color: 0
id: 6, label: 010, x: 2.5, y: -1.5, style: 0, color: 0
id: 7, label: 110, x: 2.5, y: 2.5, style: 0, color: 0

edges:
vert1: 3, vert2: 7, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 7, vert2: 5, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 5, vert2: 2, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 3, vert2: 2, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 3, vert2: 0, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 0, vert2: 4, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 4, vert2: 1, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 1, vert2: 6, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 6, vert2: 0, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 6, vert2: 7, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 2, vert2: 4, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 5, vert2: 1, directed: False, label: , style: 0, color: 0, thickness: 0
