vertices:
id: 0, label: , x: 2, y: -2, style: 0, color: 0
id: 1, label: , x: 3.5, y: -2, style: 0, color: 0
id: 2, label: , x: 5, y: -2, style: 0, color: 0
id: 3, label: , x: 0.5, y: -2, style: 0, color: 0
id: 4, label: , x: -1, y: -2, style: 0, color: 0
id: 5, label: , x: -2.5, y: -2, style: 0, color: 0
id: 6, label: , x: 5, y: -0.5, style: 0, color: 0
id: 7, label: , x: 0.5, y: -0.5, style: 0, color: 0
id: 8, label: , x: -1, y: -0.5, style: 0, color: 0
id: 9, label: , x: 2, y: -0.5, style: 0, color: 0
id: 10, label: , x: 3.5, y: -0.5, style: 0, color: 0
id: 11, label: , x: -2.5, y: -0.5, style: 0, color: 0
id: 12, label: , x: 2, y: 1, style: 0, color: 0
id: 13, label: , x: 0.5, y: 1, style: 0, color: 0
id: 14, label: , x: 5, y: 1, style: 0, color: 0
id: 15, label: , x: 3.5, y: 1, style: 0, color: 0
id: 16, label: , x: -2.5, y: 1, style: 0, color: 0
id: 17, label: , x: -1, y: 1, style: 0, color: 0
id: 18, label: , x: 5, y: 2.5, style: 0, color: 0
id: 19, label: , x: 3.5, y: 2.5, style: 0, color: 0
id: 20, label: , x: 2, y: 2.5, style: 0, color: 0
id: 21, label: , x: 0.5, y: 2.5, style: 0, color: 0
id: 22, label: , x: -1, y: 2.5, style: 0, color: 0
id: 23, label: , x: -2.5, y: 2.5, style: 0, color: 0
id: 24, label: , x: 2, y: -5, style: 0, color: 0
id: 25, label: , x: 0.5, y: -5, style: 0, color: 0
id: 26, label: , x: 5, y: -5, style: 0, color: 0
id: 27, label: , x: 3.5, y: -5, style: 0, color: 0
id: 28, label: , x: -2.5, y: -5, style: 0, color: 0
id: 29, label: , x: -1, y: -5, style: 0, color: 0
id: 30, label: , x: 5, y: -3.5, style: 0, color: 0
id: 31, label: , x: 3.5, y: -3.5, style: 0, color: 0
id: 32, label: , x: 2, y: -3.5, style: 0, color: 0
id: 33, label: , x: 0.5, y: -3.5, style: 0, color: 0
id: 34, label: , x: -1, y: -3.5, style: 0, color: 0
id: 35, label: , x: -2.5, y: -3.5, style: 0, color: 0

edges:
vert1: 5, vert2: 4, directed: False, label: 1, style: 0, color: 0, thickness: 0
vert1: 4, vert2: 3, directed: False, label: 66, style: 0, color: 0, thickness: 0
vert1: 3, vert2: 0, directed: False, label: 10, style: 0, color: 0, thickness: 0
vert1: 0, vert2: 1, directed: False, label: 77, style: 0, color: 0, thickness: 0
vert1: 1, vert2: 2, directed: False, label: 88, style: 0, color: 0, thickness: 0
vert1: 10, vert2: 6, directed: False, label: 2, style: 0, color: 0, thickness: 0
vert1: 7, vert2: 9, directed: False, label: 100, style: 0, color: 0, thickness: 0
vert1: 8, vert2: 7, directed: False, label: 60, style: 0, color: 0, thickness: 0
vert1: 11, vert2: 8, directed: False, label: 9, style: 0, color: 0, thickness: 0
vert1: 9, vert2: 10, directed: False, label: 20, style: 0, color: 0, thickness: 0
vert1: 12, vert2: 15, directed: False, label: 56, style: 0, color: 0, thickness: 0
vert1: 13, vert2: 12, directed: False, label: 69, style: 0, color: 0, thickness: 0
vert1: 15, vert2: 14, directed: False, label: 15, style: 0, color: 0, thickness: 0
vert1: 16, vert2: 17, directed: False, label: 12, style: 0, color: 0, thickness: 0
vert1: 17, vert2: 13, directed: False, label: 71, style: 0, color: 0, thickness: 0
vert1: 19, vert2: 18, directed: False, label: 9, style: 0, color: 0, thickness: 0
vert1: 20, vert2: 19, directed: False, label: 9, style: 0, color: 0, thickness: 0
vert1: 21, vert2: 20, directed: False, label: 23, style: 0, color: 0, thickness: 0
vert1: 23, vert2: 22, directed: False, label: 4, style: 0, color: 0, thickness: 0
vert1: 22, vert2: 21, directed: False, label: 5, style: 0, color: 0, thickness: 0
vert1: 24, vert2: 27, directed: False, label: 3, style: 0, color: 0, thickness: 0
vert1: 25, vert2: 24, directed: False, label: 4, style: 0, color: 0, thickness: 0
vert1: 27, vert2: 26, directed: False, label: 1, style: 0, color: 0, thickness: 0
vert1: 28, vert2: 29, directed: False, label: 15, style: 0, color: 0, thickness: 0
vert1: 29, vert2: 25, directed: False, label: 45, style: 0, color: 0, thickness: 0
vert1: 31, vert2: 30, directed: False, label: 9, style: 0, color: 0, thickness: 0
vert1: 32, vert2: 31, directed: False, label: 9, style: 0, color: 0, thickness: 0
vert1: 33, vert2: 32, directed: False, label: 2, style: 0, color: 0, thickness: 0
vert1: 35, vert2: 34, directed: False, label: 13, style: 0, color: 0, thickness: 0
vert1: 34, vert2: 33, directed: False, label: 12, style: 0, color: 0, thickness: 0
vert1: 28, vert2: 35, directed: False, label: 14, style: 0, color: 0, thickness: 0
vert1: 35, vert2: 5, directed: False, label: 1, style: 0, color: 0, thickness: 0
vert1: 5, vert2: 11, directed: False, label: 2000, style: 0, color: 0, thickness: 0
vert1: 11, vert2: 16, directed: False, label: 17, style: 0, color: 0, thickness: 0
vert1: 16, vert2: 23, directed: False, label: 22, style: 0, color: 0, thickness: 0
vert1: 22, vert2: 17, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 17, vert2: 8, directed: False, label: 55, style: 0, color: 0, thickness: 0
vert1: 8, vert2: 4, directed: False, label: 17, style: 0, color: 0, thickness: 0
vert1: 4, vert2: 34, directed: False, label: 1, style: 0, color: 0, thickness: 0
vert1: 34, vert2: 29, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 25, vert2: 33, directed: False, label: 1, style: 0, color: 0, thickness: 0
vert1: 33, vert2: 3, directed: False, label: 26, style: 0, color: 0, thickness: 0
vert1: 3, vert2: 7, directed: False, label: 6, style: 0, color: 0, thickness: 0
vert1: 7, vert2: 13, directed: False, label: 16, style: 0, color: 0, thickness: 0
vert1: 13, vert2: 21, directed: False, label: 1, style: 0, color: 0, thickness: 0
vert1: 20, vert2: 12, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 12, vert2: 9, directed: False, label: 100, style: 0, color: 0, thickness: 0
vert1: 9, vert2: 0, directed: False, label: 34, style: 0, color: 0, thickness: 0
vert1: 0, vert2: 32, directed: False, label: 4, style: 0, color: 0, thickness: 0
vert1: 32, vert2: 24, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 27, vert2: 31, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 31, vert2: 1, directed: False, label: 3, style: 0, color: 0, thickness: 0
vert1: 1, vert2: 10, directed: False, label: 19, style: 0, color: 0, thickness: 0
vert1: 10, vert2: 15, directed: False, label: 200, style: 0, color: 0, thickness: 0
vert1: 15, vert2: 19, directed: False, label: , style: 0, color: 0, thickness: 0
vert1: 18, vert2: 14, directed: False, label: 6, style: 0, color: 0, thickness: 0
vert1: 14, vert2: 6, directed: False, label: 300, style: 0, color: 0, thickness: 0
vert1: 6, vert2: 2, directed: False, label: 2, style: 0, color: 0, thickness: 0
vert1: 2, vert2: 30, directed: False, label: 666, style: 0, color: 0, thickness: 0
vert1: 30, vert2: 26, directed: False, label: 10, style: 0, color: 0, thickness: 0
