vertices:
id: 0, label: 2, x: -3.034483, y: 2.122938, style: 0, color: 0
id: 1, label: 3, x: -3, y: 0.5, style: 0, color: 0
id: 2, label: 1, x: -0.5, y: 2.5, style: 0, color: 0
id: 3, label: 4, x: 1, y: 0.5, style: 0, color: 0
id: 4, label: 8, x: 2.5, y: 2.5, style: 0, color: 0
id: 5, label: 5, x: 2, y: 0.5, style: 0, color: 0
id: 6, label: 7, x: 6, y: 4, style: 0, color: 0
id: 7, label: 6, x: 5.48126, y: 0.2998505, style: 0, color: 0

edges:
vert1: 0, vert2: 1, directed: False, label: b, style: 0, color: 0, thickness: 0
vert1: 1, vert2: 3, directed: False, label: d, style: 0, color: 0, thickness: 0
vert1: 2, vert2: 0, directed: False, label: a, style: 0, color: 0, thickness: 0
vert1: 2, vert2: 1, directed: False, label: c, style: 0, color: 0, thickness: 0
vert1: 0, vert2: 3, directed: False, label: c, style: 0, color: 0, thickness: 0
vert1: 3, vert2: 5, directed: False, label: e, style: 0, color: 0, thickness: 0
vert1: 5, vert2: 4, directed: False, label: f, style: 0, color: 0, thickness: 0
vert1: 4, vert2: 6, directed: False, label: g, style: 0, color: 0, thickness: 0
vert1: 6, vert2: 7, directed: False, label: j, style: 0, color: 0, thickness: 0
vert1: 7, vert2: 5, directed: False, label: k, style: 0, color: 0, thickness: 0
vert1: 5, vert2: 6, directed: False, label: i, style: 0, color: 0, thickness: 0
vert1: 4, vert2: 7, directed: False, label: h, style: 0, color: 0, thickness: 0
